Canción 1,Canción 2,Canción 3,Canción 4,Canción 5,Canción 6,Canción 7,Canción 8,Canción 9,Canción 10,Canción 11,Canción 12
Boig Per Tu,Dos Hombres Y Un Destino,Devuélveme a mi chica,Enamorado de la moda juvenil,T'he Trobat a Faltar,Grup de Pop,La Bilirrubina,Escopinya,Lagrimas De Amor,Samba do Brasil,Carolina,Barbie Girl
Lágrimas desordenadas,Lagrimas De Amor,Una Lluna a L'Aigua,Girls Just Want to Have Fun,JUBILAR-ME,Jenifer,Libertad,Malafici,Que La Detengan,A quién le importa,Tokyo,Pull Up
Cuando Brille el Sol,Lágrimas desordenadas,AURORA,Alors on danse,"Amics, Tiets i Coneguts",Te he echado de menos,Enamorado de la moda juvenil,Pull Up,Lagrimas De Amor,Dos Hombres Y Un Destino,"Marta, Sebas, Guille y los demás",Mon Cheri Go Home
More Than Friends,Tobogan,This Is Me,Me Rehúso,El Fin del Mundo,TOCA,A quién le importa,Wrecking Ball,Barbie Girl,Highway to Hell,Bailando por Ahi,Citant Mercé Rodoreda
Escopinya,Suavemente,Que Chévere,Si Antes Te Hubiera Conocido,"Amics, Tiets i Coneguts",No Puedo Vivir Sin Ti,Cuando Brille el Sol,You're The One That I Want,The Nights,La_Original.mp3,Besos,Ay Mamá
Samba do Brasil,Jenifer,Una Lluna a L'Aigua,L'ona,En Peu de Guerra,Maquillaje,Entre Poetas y Presos,T'he Trobat a Faltar,YMCA,El Fin del Mundo,Crazy In Love,Dos Hombres Y Un Destino
La Vida Es Un Carnaval,Que La Detengan,En Peu de Guerra,Escopinya,El Fin del Mundo,Lagrimas De Amor,Tokyo,LA GAVINA (MAMBO REMIX),"Hey, Soul Sister",This Is Me,Les Teves Pigues,Si Antes Te Hubiera Conocido
Maquillaje,Por la Raja de Tu Falda,Libertad,15 Dies,La flaca,Que Chévere,Te Pintaron Pajaritos,Al mar!,Des del Dia 1,Ferran Adrià,Devuélveme a mi chica,Bicicletes
Física o quí­mica,Beggin',The Ketchup Song (Aserejé),15 Dies,Bailando por Ahi,Em bategues,L'ona,T'he Trobat a Faltar,More Than Friends,La Bilirrubina,Princesa de mi cuento,Les Teves Pigues
JUBILAR-ME,More Than Friends,Cómo Te Atreves,Des del Dia 1,Die Young,2000,The Lazy Song,NUEVAYoL,The Ketchup Song (Aserejé),"Marta, Sebas, Guille y los demás",Riptide,Bicicletes
Al mar!,Cuando Brille el Sol,Uptown Funk,More Than Friends,Die Young,La Bilirrubina,Física o quí­mica,Havana,Girls Just Want to Have Fun,Libertad,"Lo Que Pasó, Pasó",Citant Mercé Rodoreda
Mamipuladora,Alors on danse,Beggin',Enamorado de la moda juvenil,The Lazy Song,Ferran Adrià,La Bilirrubina,Física o quí­mica,Highway to Hell,Supermercat,Escopinya,Tokyo
What Makes You Beautiful,Mamma Mia,2000,Havana,Wrecking Ball,You're The One That I Want,6 DE FEBRERO,Vaya Liada,Boig Per Tu,Bailando por Ahi,Hay Que Venir Al Sur,Beggin'
Ferran Adrià,Carolina,Todos los días sale el sol,La Vida Es Un Carnaval,NUEVAYoL,Suavemente,The Ketchup Song (Aserejé),Aixeca la mà,La flaca,Hips Don't Lie,Millor del que pensava,Pasado Pisado
Don't Stop The Music,Paquito El Chocolatero,Les Teves Pigues,Cuando Brille el Sol,Alors on danse,Mamipuladora,"Marta, Sebas, Guille y los demás",Bad Romance,Havana,Samba do Brasil,Riptide,The Nights
AURORA,Enamorado de la moda juvenil,A quién le importa,Rosas,Bailando por Ahi,Breaking Free,Tokyo,You're The One That I Want,This Is Me,Devuélveme a mi chica,Todos los días sale el sol,Havana
habibi,Fiesta Pagana,Suavemente,Una Lluna a L'Aigua,Al mar!,Bad Romance,Cuando Tú Vas,T'he Trobat a Faltar,Te Pintaron Pajaritos,2000,Tokyo,Breaking Free
What Makes You Beautiful,I Want It That Way,No Puedo Vivir Sin Ti,Rosas,Bon dia,You're The One That I Want,Libertad,Girls Just Want to Have Fun,Me Rehúso,Em bategues,Ay Mamá,Don't Stop Me Now
Que Chévere,Girls Just Want to Have Fun,The Ketchup Song (Aserejé),Camins,AURORA,Mamma Mia,Riptide,Rosas,DROGA,Me Rehúso,Bad Romance,Que La Detengan
Bicicletes,6 DE FEBRERO,2000,Entre Poetas y Presos,Breaking Free,Devuélveme a mi chica,Riptide,Pull Up,Libertad,I Gotta Feeling,Una Lluna a L'Aigua,Les Teves Pigues
DROGA,Don't Stop Me Now,"Hey, Soul Sister",Beggin',Les Teves Pigues,Carolina,Que Chévere,Cuando Brille el Sol,"Lo Que Pasó, Pasó",Física o quí­mica,Jenifer,"Marta, Sebas, Guille y los demás"
"Marta, Sebas, Guille y los demás",Al mar!,Wrecking Ball,JA DORMIRÉ,Mi Estrella Blanca,Gat rumberu,Don't Stop The Music,Hips Don't Lie,Beggin',Física o quí­mica,Si Antes Te Hubiera Conocido,Pull Up
La_Original.mp3,Die Young,6 DE FEBRERO,YMCA,Fiesta Pagana,Citant Mercé Rodoreda,Em bategues,Te he echado de menos,Bicicletes,Uptown Funk,Besos,Devuélveme a mi chica
