Canción 1,Canción 2,Canción 3,Canción 4,Canción 5,Canción 6,Canción 7,Canción 8,Canción 9,Canción 10,Canción 11,Canción 12
A la Sombra de la Sierra,APT.,Per la borda,MAMA HO SENTO,Sarandonga,20 de abril,Lovumba,Tintin,Moves Like Jagger,We Are Young,The Final Countdown,Rock & Roll
El Mambo,El ataque de las chicas cocodrilo,La Faràndula,In The Night,Espresso Macchiato,Lovumba,Rumadai,Danza Kuduro,Sense Tu,Cuando zarpa el amor,Single Ladies (Put a Ring on It),MOLTA TRALLA
Lloverá y Yo Veré,APT.,SOLUCIONS i NO PROBLEMES,Wannabe,Eva Maria,Waterloo,Un Plan B,Lovumba,Tenía Tanto Que Darte,No Sigue Modas,Olívia,Girlband
Tití Me Preguntó,Jean-Luc,Wannabe,Zapatillas,In The Night,Benvolgut,Plou,Chica Ye Ye,Caminando por la vida,Tintin,Bailoteo,No importa que llueva
Payphone,El ataque de las chicas cocodrilo,L'orquestra del Titànic,Just Dance,In The Night,Espresso Macchiato,Torno en Mi,Moves Like Jagger,No importa que llueva,Podría Ser Peor,Seguirem Ballant,Pedro
SOLUCIONS i NO PROBLEMES,La Tabarra,20 de abril,Take on Me,Waterloo,Plou,Danza Kuduro,Toxic,La Mujer del Pelotero,No importa que llueva,Single Ladies (Put a Ring on It),The Final Countdown
A la Sombra de la Sierra,Sarandonga,Eva Maria,Cuando zarpa el amor,Espresso Macchiato,L'últim segon,We Will Rock You,No importa que llueva,We Are Young,Podría Ser Peor,Single Ladies (Put a Ring on It),Never Gonna Give You Up
Mari Carmen,A la Sombra de la Sierra,Per la borda,Call Me Maybe,Zapatillas,Danza Kuduro,It's My Life,Cap. 2: Havia de Passar,Esbarzers - Remix,Purpurina,MOLTA TRALLA,Temerario
Everybody (Backstreet's Back),Party In The U.S.A.,Jean-Luc,Sarandonga,Benvolgut,Cuando zarpa el amor,It's My Life,Tot el que ens queda - Remix,Músic de Carrer,Tenía Tanto Que Darte,Besos En Guerra,Nochentera
Lloverá y Yo Veré,Call Me Maybe,L'orquestra del Titànic,La Despedida,Tití Me Preguntó,ACTITUD,Pedro,Potra Salvaje - Hard Remix,Tintin,L'últim segon,Girlband,Get Lucky
Me Colé en una Fiesta,Zapatillas,ACTITUD,Take on Me,Just Dance,Chica Ye Ye,La Mujer del Pelotero,Ni Una Sola Palabra,Purpurina,Payphone,MOLTA TRALLA,L'orquestra del Titànic
Lloverá y Yo Veré,APT.,Mari Carmen,Chiquilla,Tití Me Preguntó,Zapatillas,Rumadai,Chica Ye Ye,Potra Salvaje - Hard Remix,Si te vas...,Olívia,MOLTA TRALLA
A la Sombra de la Sierra,SOLUCIONS i NO PROBLEMES,La Faràndula,Wannabe,Atrévete-Te-Te,Benvolgut,Salta!!!,Esbarzers - Remix,We Are Young,Pedro,Rock & Roll,No Rompas Mi Corazón
TAS LOKO,La Faràndula,Just Dance,Caminando por la vida,Tot el que ens queda - Remix,Cap. 2: Havia de Passar,Tintin,La Mujer del Pelotero,Potra Salvaje - Hard Remix,Moves Like Jagger,Purpurina,We Are Young
Bohemian Rhapsody,SOLUCIONS i NO PROBLEMES,La Tabarra,La Despedida,Party In The U.S.A.,Baby,Un Plan B,American Idiot,ACTITUD,La Camisa Negra,Tintin,Seguirem Ballant
A la Sombra de la Sierra,El Mambo,El ataque de las chicas cocodrilo,La Faràndula,MAMA HO SENTO,Waterloo,It's My Life,La Mujer del Pelotero,Esa Diva,Girlband,Temerario,L'orquestra del Titànic
La Morocha,El Mambo,El ataque de las chicas cocodrilo,Everybody (Backstreet's Back),Un Plan B,Princesas,Rumadai,Músic de Carrer,We Will Rock You,Olívia,Podría Ser Peor,La meva sort
