Canción 1,Canción 2,Canción 3,Canción 4,Canción 5,Canción 6,Canción 7,Canción 8,Canción 9,Canción 10,Canción 11,Canción 12
Somebody That I Used To Know,Pedro,Toxic,Baby,El ataque de las chicas cocodrilo,Soldadito marinero,Princesas,La Faràndula,APT.,Rasputin,La Morocha,Esbarzers - Remix
TAS LOKO,Cap. 2: Havia de Passar,Músic de Carrer,Never Gonna Give You Up,Volvera,Toxic,Waterloo,Chiquilla,Amparito Roca,Wannabe,L'últim segon,MAMA HO SENTO
La Camisa Negra,Me Colé en una Fiesta,Tot el que ens queda - Remix,Yo Quiero Bailar,Get Lucky,Eva Maria,Esbarzers - Remix,Plou,I'm Yours,Cuando zarpa el amor,Barras Warras,MAMA HO SENTO
TAS LOKO,Potra Salvaje - Hard Remix,La Faràndula,APT.,I'm Yours,PLAYA DEL INGLÉS,Bona Vida,Call Me Maybe,Mal De Amores,Party In The U.S.A.,Bohemian Rhapsody,Caminando por la vida
Potra Salvaje - Hard Remix,Me Colé en una Fiesta,L'orquestra del Titànic,Girlband,We Will Rock You,El Mambo,The Final Countdown,Danza Kuduro,Olívia,Take on Me,Si te vas...,Un Plan B
Bailoteo,Umbrella,Sarandonga,Ni Una Sola Palabra,The Final Countdown,Nochentera,Call Me Maybe,Lovumba,Llença't,Esa Diva,La meva sort,Bohemian Rhapsody
No Sigue Modas,La Camisa Negra,Me Colé en una Fiesta,Pedro,Tenía Tanto Que Darte,Dancing Queen,La Morocha,Lloverá y Yo Veré,Party In The U.S.A.,Si te vas...,La Tabarra,Caminando por la vida
Just Dance,Tot el que ens queda - Remix,20 de abril,Yo Quiero Bailar,Soldadito marinero,Ventiladors,POETA MODERNET,I'm Yours,Moves Like Jagger,Jean-Luc,Tintin,Caminando por la vida
TAS LOKO,Just Dance,Pedro,Toxic,Seguirem Ballant,Ventiladors,The Final Countdown,Plou,Nochentera,Si te vas...,La Tabarra,Tití Me Preguntó
No Sigue Modas,Volvera,L'orquestra del Titànic,Tenía Tanto Que Darte,Podría Ser Peor,Soldadito marinero,Jo Mai Mai,Moves Like Jagger,L'últim segon,Bona Vida,Jean-Luc,Seguirem Ballant
La Despedida,Salta!!!,El ataque de las chicas cocodrilo,Waterloo,No Rompas Mi Corazón,We Will Rock You,Eva Maria,Mari Carmen,L'últim segon,Take on Me,Party In The U.S.A.,Rumadai
Cap. 2: Havia de Passar,Just Dance,In The Night,Girlband,Eva Maria,El Mambo,I'm Yours,Olívia,Mari Carmen,Lloverá y Yo Veré,El Vals del Obrero,Dancing Queen
We Are Young,Potra Salvaje - Hard Remix,La Camisa Negra,No Sigue Modas,Never Gonna Give You Up,El ataque de las chicas cocodrilo,Soldadito marinero,Nochentera,Purpurina,La Despedida,Barras Warras,Colgando en tus manos
Besos En Guerra,Never Gonna Give You Up,Yo Quiero Bailar,American Idiot,Soldadito marinero,No Rompas Mi Corazón,Jo Mai Mai,Per la borda,Plou,Danza Kuduro,Nochentera,MAMA HO SENTO
Chica Ye Ye,Somebody That I Used To Know,APT.,Amparito Roca,El Mambo,A la Sombra de la Sierra,Ventiladors,Olívia,Pa amb Oli I Sal,Take on Me,L'últim segon,Jean-Luc
Just Dance,Bailoteo,In The Night,Torno en Mi,No importa que llueva,Toxic,Ni Una Sola Palabra,La Morocha,Espresso Macchiato,A la Sombra de la Sierra,Purpurina,La Tabarra
